"id","title","theme","capital","multicapital","location","expected_amount","collected_amount","engaged_number","platform","platform_type","status","any_date","year","start_date","end_date"
"https://na-starte.com/project/sluminous-motivatsionnyi-svetilnik-v-vostochnom-stile/","S.Luminous - светильник в восточной стиле","Дизайн","Культурний","False","Миколаїв",12000,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://na-starte.com/project/izdanie-sbornika-rasskazov-gorkaya-pravda110/","Издание сборника рассказов ""Горькая правда""","Видання","Культурний","False","Київ",13500,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2014",2014,"","2014-01-01"
"https://gb.kyivcity.gov.ua/projects/archive/2/show/302","Установка частотного перетворювача","Комунальне господарство, енергозбереження","Інфраструктурний","","Київ",14610,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2017",2017,"","2017-01-01"
"1002","Фестиваль «Территория»","Місто","Інфраструктурний","True","Дніпро",15000,0,0,"Велика Ідея","Краудфандинг","Неуспішний","15.04.2015",2015,"2015-03-20","2015-04-15"
"http://bu.mvk.if.ua/projects2016/197","Заміна дверей у класних кабінетах школи","","Інфраструктурний","False","Івано-Франківськ",15000,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","13.05.2016",2016,"2016-05-13",""
"https://gp.khm.gov.ua/projects/47","ОСТАННЯ БРУКІВКА ХМЕЛЬНИЦЬКОГО (1905-1910років) по пров.Рибацькому","Житлово-комунальне господарство","Інфраструктурний","","Хмельницький",15000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2019",2019,"","2019-01-01"
"https://ubb.org.ua/uk/project/502/","Нова професія. Нове життя.","ОСВІТА","Людський","False","Київ",16200,16200,0,"UBB","Краудфандинг","Успішний","17.10.2012",2012,"2012-10-17",""
"https://na-starte.com/project/sequestion/","Sequestion","Технології","Інфраструктурний","False","Запоріжжя",16750,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2014",2014,"","2014-01-01"
"https://rivne.pb.org.ua/projects/archive/85/show/453","Облаштування медичних куточків по наданню первинної медичної допомоги при ЖКП (радах ветеранів)","Охорона здоров'я","Інфраструктурний","","Рівне",19900,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://na-starte.com/project/yunosheskie-sorevnovaniya-po-greko-rimskoi-borbe/","Юношеские соревнования по греко-римской борьбе","Спорт","Інфраструктурний","False","Алушта",20000,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2014",2014,"","2014-01-01"
